name,price,link
Moteriška suknelė,29.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-suknele-186
Moteriškas alpakos vilnos megztinis,27.0,https://e-vintage.humana.lt//collections/moterims/products/moteriskas-alpakos-vilnos-megztinis-1
Moteriška palaidinė,23.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-palaidine-186
MODAS ANABEL moteriškos odinės kelnės,29.0,https://e-vintage.humana.lt//collections/moterims/products/modas-anabel-moteriskos-odines-kelnes
Moteriški šortai su vilna,19.0,https://e-vintage.humana.lt//collections/moterims/products/moteriski-sortai-su-vilna
Moteriška odinė rankinė,25.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-odine-rankine-49
Moteriška rankinė,15.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-rankine-90
LEVEL moteriškas verstos odos sijonas,35.0,https://e-vintage.humana.lt//collections/moterims/products/level-moteriskas-verstos-odos-sijonas
MOSCHINO moteriškos lanos vilnos kelnės,49.0,https://e-vintage.humana.lt//collections/moterims/products/moschino-moteriskos-lanos-vilnos-kelnes
SAUVAGE moteriškos sportinės kelnės,29.0,https://e-vintage.humana.lt//collections/moterims/products/sauvage-moteriskos-sportines-kelnes
Odinė kuprinė,25.0,https://e-vintage.humana.lt//collections/moterims/products/odine-kuprine
JEAN CACHAREL moteriškas vilnonis sijonas,32.0,https://e-vintage.humana.lt//collections/moterims/products/jean-cacharel-moteriskas-vilnonis-sijonas
HAMMER moteriškkas vilnonis sijonas,19.0,https://e-vintage.humana.lt//collections/moterims/products/hammer-moteriskkas-vilnonis-sijonas
SAUTTER moteriškas sijonas,25.0,https://e-vintage.humana.lt//collections/moterims/products/sautter-moteriskas-sijonas
GILDAN trikotažiniai marškinėliai,15.0,https://e-vintage.humana.lt//collections/moterims/products/gildan-trikotaziniai-marskineliai-3
BARBOUR skrybėlė,25.0,https://e-vintage.humana.lt//collections/moterims/products/barbour-skrybele
ADRIANNA PAPELL moteriška šilkinė palaidinė,32.0,https://e-vintage.humana.lt//collections/moterims/products/adrianna-papell-moteriska-silkine-palaidine
GLEN SAXON šalikas su moheros vilna,32.0,https://e-vintage.humana.lt//collections/moterims/products/glen-saxon-salikas-su-moheros-vilna-1
